Start cell number	Iteration	End cell number	QS Number	QS Distribution by cell
54	3	61	1.0,2.0,3.0,4.0,5.0,6.0	10,12,25,8,4,2
54	4	62	1.0,2.0,3.0,4.0,5.0,6.0	9,12,29,4,7,1
54	5	62	1.0,2.0,3.0,4.0,5.0,6.0	10,14,24,8,4,2
55	1	61	1.0,2.0,3.0,4.0,5.0,6.0	8,16,21,10,5,1
55	2	63	1.0,2.0,3.0,4.0,5.0,7.0,8.0	11,16,20,12,2,1,1
55	3	64	1.0,2.0,3.0,4.0,5.0,6.0,8.0	10,15,26,8,2,2,1
55	4	61	1.0,2.0,3.0,4.0,5.0,6.0,8.0	9,15,23,8,4,1,1
55	5	63	1.0,2.0,3.0,4.0,5.0,7.0	10,16,23,9,3,2
56	1	64	1.0,2.0,3.0,4.0,5.0,6.0	11,17,22,6,5,3
56	2	63	1.0,2.0,3.0,4.0,5.0,6.0,7.0	12,16,22,6,4,2,1
56	3	64	1.0,2.0,3.0,4.0,5.0,6.0,7.0	12,14,26,5,4,2,1
56	4	65	1.0,2.0,3.0,4.0,5.0,6.0	11,17,22,7,7,1
56	5	63	1.0,2.0,3.0,4.0,5.0,6.0	13,15,20,8,4,3
57	1	64	1.0,2.0,3.0,4.0,5.0	10,14,24,11,5
57	2	64	1.0,2.0,3.0,4.0,5.0,6.0	10,14,24,10,5,1
57	3	60	1.0,2.0,3.0,4.0,5.0,6.0	9,14,22,8,5,2
57	4	60	1.0,2.0,3.0,4.0,5.0,6.0	10,14,20,8,6,2
57	5	61	1.0,2.0,3.0,4.0,5.0,6.0	11,14,21,8,4,3
58	1	64	1.0,2.0,3.0,4.0,5.0,9.0	10,17,20,10,6,1
58	2	65	1.0,2.0,3.0,4.0,5.0,7.0	11,15,24,9,5,1
58	3	63	1.0,2.0,3.0,4.0,5.0,6.0	10,15,22,10,5,1
58	4	63	1.0,2.0,3.0,4.0,5.0,6.0	13,11,24,9,4,2
58	5	63	1.0,2.0,3.0,4.0,5.0,6.0	10,13,24,11,4,1
59	1	64	1.0,2.0,3.0,4.0,5.0	11,13,23,13,4
59	2	69	1.0,2.0,3.0,4.0,5.0	9,20,26,7,7
59	3	69	1.0,2.0,3.0,4.0,5.0	11,15,28,11,4
59	4	65	1.0,2.0,3.0,4.0,5.0,6.0	10,13,26,12,3,1
59	5	64	1.0,2.0,3.0,4.0,5.0	10,13,25,12,4
60	1	62	1.0,2.0,3.0,4.0,5.0,6.0	10,14,23,9,5,1
60	2	62	1.0,2.0,3.0,4.0,5.0,6.0	9,14,24,11,3,1
60	3	63	1.0,2.0,3.0,4.0,5.0,6.0,8.0	9,15,25,10,2,1,1
60	4	60	1.0,2.0,3.0,4.0,5.0,7.0	7,14,23,12,3,1
60	5	63	1.0,2.0,3.0,4.0,5.0,6.0,7.0	9,15,24,10,3,1,1
