Start cell number	Iteration	End cell number	Gate Number Per Cell	Gate Number Distribution
67	4	37	1,2,3,4,5	1,7,7,7,15
67	5	39	1,2,3,4,5	6,5,3,11,14
67	6	38	1,2,3,4,5	5,6,5,3,19
67	7	41	1,2,3,4,5	3,8,12,6,12
67	8	38	1,2,3,4,5	2,6,7,11,12
67	9	43	1,2,3,4,5	4,11,9,9,10
67	10	41	1,2,3,4,5	5,6,10,8,12
68	1	43	1,2,3,4,5	4,10,12,6,11
68	2	42	1,2,3,4,5	3,11,9,8,11
68	3	44	1,2,3,4,5	7,10,8,7,12
68	4	39	1,2,3,4,5	2,7,10,7,13
68	5	39	1,2,3,4,5	1,8,10,8,12
68	6	39	1,2,3,4,5	3,6,10,6,14
68	7	47	1,2,3,4,5	9,13,8,5,12
68	8	43	1,2,3,4,5	6,12,5,6,14
68	9	39	1,2,3,4,5	1,9,7,11,11
68	10	44	1,2,3,4,5	3,13,10,10,8
69	1	40	1,2,3,4,5	5,6,9,5,15
69	2	42	1,2,3,4,5	4,12,7,5,14
69	3	40	1,2,3,4,5	5,6,7,9,13
69	4	38	1,2,3,4,5	2,5,9,10,12
69	5	39	1,2,3,4,5	1,10,7,8,13
69	6	39	1,2,3,4,5	2,7,10,7,13
69	7	38	1,2,3,4,5	2,6,8,9,13
69	8	42	1,2,3,4,5	3,11,9,8,11
69	9	42	1,2,3,4,5	5,11,6,6,14
69	10	44	1,2,3,4,5	8,8,10,5,13
70	1	41	1,2,3,4,5	4,12,3,8,14
70	2	39	1,2,3,4,5	3,8,5,10,13
70	3	43	1,2,3,4,5	7,10,5,8,13
70	4	43	1,2,3,4,5	11,4,7,6,15
70	5	42	1,2,3,4,5	4,12,6,7,13
70	6	41	1,2,3,4,5	4,12,4,6,15
70	7	43	1,2,3,4,5	4,14,5,8,12
70	8	42	1,2,3,4,5	8,8,5,5,16
70	9	41	1,2,3,4,5	2,10,11,6,12
70	10	40	1,2,3,4,5	5,7,6,8,14
